0  1.24993 0.0018226  0.875472  182.256
0.001  1.24116  0.183753  -18.4014  181.326
0.002001  1.21318  0.36408  -37.4494  178.672
0.003  1.16647  0.540494  -55.9335  174.2
0.004  1.10162  0.711689  -73.6208  167.895
0.005  1.01958  0.875733  -90.2592  159.943
0.006  0.921499  1.03113  -105.701  150.662
0.007  0.808619  1.17672  -119.828  140.377
0.008  0.682344  1.31163  -132.449  129.319
0.009001  0.544187  1.43527  -143.248  117.619
0.010001  0.396467  1.54683  -151.779  105.424
0.011001  0.241512  1.64601  -157.666  92.9002
0.012001  0.0820892  1.7326  -160.7  80.3038
0.013001  -0.07895  1.80669  -160.929  67.9304
0.014001  -0.238929  1.86863  -158.644  56.0513
0.015001  -0.395548  1.91902  -154.291  44.8659
0.016001  -0.546987  1.95863  -148.365  34.4845
0.017001  -0.691911  1.98827  -141.334  24.9385
0.018001  -0.829417  2.00878  -133.587  16.203
0.019001  -0.958948  2.02093  -125.428  8.21957
0.020001  -1.08021  2.02544  -117.076  0.913797
0.021  -1.19298  2.02296  -108.687  -5.78637
0.022  -1.29748  2.01404  -100.341  -11.9704
0.023  -1.39369  1.99917  -92.0986  -17.7016
0.024  -1.48172  1.97877  -83.9842  -23.0439
0.025  -1.56171  1.9532  -76.0015  -28.0541
0.026  -1.63377  1.92276  -68.139  -32.7829
0.027  -1.69802  1.88771  -60.3753  -37.2752
0.028  -1.75454  1.84827  -52.6813  -41.5713
0.029  -1.80339  1.80462  -45.0225  -45.707
0.03  -1.84459  1.7569  -37.3601  -49.7147
0.031  -1.8781  1.70522  -29.6518  -53.6236
0.032  -1.90386  1.64968  -21.8519  -57.4601
0.033  -1.92175  1.59032  -13.9116  -61.2481
0.034  -1.93162  1.52719  -5.7782  -65.0093
0.035  -1.93323  1.4603  2.60462  -68.7632
0.036  -1.9263  1.38966  11.2979  -72.5269
0.037  -1.91051  1.31524  20.368  -76.3157
0.038  -1.88542  1.23702  29.8874  -80.142
0.039  -1.85055  1.15494  39.9359  -84.0154
0.04  -1.80534  1.06897  50.6021  -87.9422
0.041  -1.74911  0.979038  61.9847  -91.9242
0.042  -1.6811  0.885101  74.1946  -95.9579
0.043  -1.60041  0.787108  87.3575  -100.032
0.044  -1.50602  0.68503  101.617  -104.125
0.045  -1.39675  0.578863  117.138  -108.201
0.046  -1.27126  0.468654  134.113  -112.198
0.047  -1.12796  0.354527  152.768  -116.014
0.048  -0.96507  0.236746  173.37  -119.465
0.049  -0.780472  0.115837  196.23  -122.181
0.05  -0.571757  -0.0070936  221.64  -123.28
0.051  -0.336421  -0.12936  249.231  -120.105
0.052  -0.0749895  -0.243165  270.332  -104.668
0.053  0.194978  -0.336577  265.558  -82.8152
0.054  0.451234  -0.411197  246.035  -67.508
0.055  0.686506  -0.473133  224.557  -56.9047
0.056  0.900671  -0.525831  203.994  -48.8115
